                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2237,                0.96439,                 1.2388,                0.61379,                0.50988,                0.50998,                 0.2888,                 1.5021,                 1.1648,                 1.5523,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.259,                0.98347,                 1.2419,                 0.6913,                0.48669,                0.53537,                0.30025,                 1.5596,                 1.1689,                 1.5264,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2313,                0.98267,                   1.24,                0.66326,                 0.4239,                0.49181,                0.28545,                 1.5597,                 1.2379,                 1.5612,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2599,                0.98172,                 1.2445,                0.70545,                0.46716,                0.50743,                0.28834,                 1.5355,                 1.2341,                 1.5673,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2232,                0.96832,                 1.2321,                0.58603,                0.53095,                0.51407,                0.28966,                 1.5069,                 1.2053,                 1.5433,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.2427,                0.98202,                 1.2288,                0.63434,                0.48818,                0.50502,                0.29501,                 1.5179,                 1.1713,                 1.5535,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1955,                0.94543,                 1.2155,                0.62307,                 0.4699,                0.49715,                0.28738,                 1.5731,                  1.251,                  1.611,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2301,                0.96067,                  1.226,                 0.6717,                 0.4661,                0.49028,                0.27991,                 1.5948,                 1.2018,                 1.5768,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2273,                0.93734,                 1.2221,                0.67477,                0.50659,                0.50451,                0.28417,                 1.5823,                  1.264,                 1.6123,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.2235,                 0.9482,                 1.2255,                0.64213,                0.49329,                0.51941,                 0.2846,                 1.5332,                 1.1848,                  1.553,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1746,                 0.9225,                 1.2128,                 0.6718,                0.46109,                0.51338,                0.29641,                  1.515,                 1.1672,                 1.5419,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1963,                0.91798,                 1.2185,                0.65788,                0.47329,                 0.5056,                0.29687,                 1.5091,                  1.186,                  1.546,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.1869,                0.91262,                 1.2116,                0.68051,                0.49901,                0.51805,                0.28236,                 1.5772,                 1.1778,                 1.6151,             0.00024772,             0.00024772,             0.00024772
